Machine learning,"Each time each type of sort button is clicked, changes from Ascending to Descending",,your search,Button to Reset to original ordering,Order by your notes,"Authors, year, editor", Button - use to order by YEAR,First author,Title,text, Link 1, Link 2,," dois, after using crossref button"
,http://stackoverflow.com/questions/1781672/convert-bibliographic-references-from-a-document-into-bibtex-or-endnote/39820830#39820830,20,Machine learning,11,,"S Shalev-Shwartz, S Ben-David - 2014 - books.google.com",2014,"Shalev-Shwartz,",Understanding machine learning: From theory to algorithms,"Machine learning is one of the fastest growing areas of computer science, with far-reaching 
applications. The aim of this textbook is to introduce machine learning, and the algorithmic 
paradigms it offers, in a principled way. The book provides a theoretical account of the …",https://content.schweitzer-online.de/static/catalog_manager/live/media_files/representation/zd_std_orig__zd_schw_orig/004/894/425/9781107057135_foreword_pdf_1.pdf,https://books.google.com/books?hl=en&lr=&id=Hf6QAwAAQBAJ&oi=fnd&pg=PR15&dq=Machine+learning&ots=2IqkMnpPP6&sig=qXDQPczHtzIkN3iAGDq6FtedZm4,,
,Beggining in step 4.,30,Machine learning,12,,A Burkov - 2019 - Andriy Burkov Canada,2019,Burkov,The hundred-page machine learning book,,,,,
,,40,Machine learning,13,,"K Wagstaff - arXiv preprint arXiv:1206.4656, 2012 - arxiv.org",year not detected,Wagstaff,Machine learning that matters,"Much of current machine learning (ML) research has lost its connection to problems of 
import to the larger world of science and society. From this perspective, there exist glaring 
limitations in the data sets we investigate, the metrics we employ for evaluation, and the …",https://arxiv.org/pdf/1206.4656,https://arxiv.org/abs/1206.4656,,
,,50,Machine learning,14,,"I El Naqa, MJ Murphy - machine learning in radiation oncology, 2015 - Springer",2015,El,What is machine learning?,"Abstract Machine learning is an evolving branch of computational algorithms that are 
designed to emulate human intelligence by learning from the surrounding environment. 
They are considered the working horse in the new era of the so-called big data. Techniques …",,https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,,
,,60,Machine learning,15,,"TG Dietterich - AI magazine, 1997 - ojs.aaai.org",1997,Dietterich,Machine-learning research,"Abstract Machine-learning research has been making great progress in many directions. 
This article summarizes four of these directions and discusses some current open problems. 
The four directions are (1) the improvement of classification accuracy by learning ensembles …",https://ojs.aaai.org/index.php/aimagazine/article/view/1324/1225,https://ojs.aaai.org/index.php/aimagazine/article/view/1324,,
,,70,Machine learning,16,,E Alpaydin - 2016 - books.google.com,2016,Alpaydin,Machine learning: the new AI,"A concise overview of machine learning—computer programs that learn from data—which 
underlies applications that include recommendation systems, face recognition, and 
driverless cars. Today, machine learning underlies a range of applications we use every …",,https://books.google.com/books?hl=en&lr=&id=ylE4DQAAQBAJ&oi=fnd&pg=PR5&dq=Machine+learning&ots=S7cL1tsBZP&sig=KZ3h8Ap5K266iloluFw0AohXQ1c,,
,,80,Machine learning,17,,"DE Goldberg, JH Holland - 1988 - deepblue.lib.umich.edu",1988,"Goldberg,",Genetic algorithms and machine learning,"There is no a priori reason why machine learning must borrow from nature. A field could 
exist, complete with well-defined algorithms, data structures, and theories of learning, 
without once referring to organisms, cognitive or genetic structures, and psychological or …",https://deepblue.lib.umich.edu/bitstream/handle/2027.42/46947/10994_2005_Article_422926.pdf,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/46947/10994_2005_Article_422926.pdf,,
,,90,Machine learning,18,,"G Carleo, I Cirac, K Cranmer, L Daudet, M Schuld… - Reviews of Modern …, 2019 - APS",2019,"Carleo,",Machine learning and the physical sciences,"Abstract Machine learning (ML) encompasses a broad range of algorithms and modeling 
tools used for a vast array of data processing tasks, which has entered most scientific 
disciplines in recent years. This article reviews in a selective way the recent research on the …",https://arxiv.org/pdf/1903.10563,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002,,
,,100,Machine learning,19,,S Raschka - 2015 - books.google.com,2015,Raschka,Python machine learning,"Unlock deeper insights into Machine Leaning with this vital guide to cutting-edge predictive 
analytics About This Book Leverage Python's most powerful open-source libraries for deep 
learning, data wrangling, and data visualization Learn effective strategies and best practices …",https://raw.githubusercontent.com/rasbt/python-machine-learning-book/master/docs/equations/pymle-equations.pdf,https://books.google.com/books?hl=en&lr=&id=GOVOCwAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=Nd8AHfYWZK&sig=U5SHU-3dNzp10SIzmv0gkrB47qQ,,
,,110,Machine learning,20,,S Gollapudi - 2016 - books.google.com,2016,Gollapudi,Practical machine learning,"Tackle the real-world complexities of modern machine learning with innovative, cutting-
edge, techniques About This Book Fully-coded working examples using a wide range of 
machine learning libraries and tools, including Python, R, Julia, and Spark Comprehensive …",,https://books.google.com/books?hl=en&lr=&id=WmsdDAAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=1Av6yxRnaZ&sig=p5tLVFuOGm-vQkB_q6e08ZYB08Q,,
,,120,Machine learning,21,,KP Murphy - 2012 - books.google.com,2012,Murphy,Machine learning: a probabilistic perspective,"A comprehensive introduction to machine learning that uses probabilistic models and 
inference as a unifying approach. Today's Web-enabled deluge of electronic data calls for 
automated methods of data analysis. Machine learning provides these, developing methods …",https://research.google/pubs/pub38136.pdf,https://books.google.com/books?hl=en&lr=&id=RC43AgAAQBAJ&oi=fnd&pg=PR7&dq=Machine+learning&ots=umgz9CTw48&sig=uLBERQ15fmlxruN5vFvL401qvMI,,
,,130,Machine learning,22,,"H Surden - Wash. L. Rev., 2014 - HeinOnline",2014,Surden,Machine learning and law,"What impact might artificial intelligence (AI) have upon the practice of law? According to one 
view, Al should have little bearing upon legal practice barring significant technical advances. 
1 The reason is that legal practice is thought to require advanced cognitive abilities, but such …",http://scholar.law.colorado.edu/cgi/viewcontent.cgi?article=1088&context=articles,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/washlr89&section=7,,
,,140,Machine learning,23,,TM Mitchell - 2006 - ra.adm.cs.cmu.edu,2006,Mitchell,The discipline of machine learning,"Over the past 50 years the study of Machine Learning has grown from the efforts of a handful 
of computer engineers exploring whether computers could learn to play games, and a field 
of Statistics that largely ignored computational considerations, to a broad discipline that has …",http://ra.adm.cs.cmu.edu/anon/usr0/ftp/anon/ml/CMU-ML-06-108.pdf,http://ra.adm.cs.cmu.edu/anon/usr0/ftp/anon/ml/CMU-ML-06-108.pdf,,
,,150,Machine learning,24,,"AL Tarca, VJ Carey, X Chen, R Romero… - PLoS Comput …, 2007 - journals.plos.org",2007,"Tarca,",Machine learning and its applications to biology,"The term machine learning refers to a set of topics dealing with the creation and evaluation 
of algorithms that facilitate pattern recognition, classification, and prediction, based on 
models derived from existing data. Two facets of mechanization should be acknowledged …",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030116,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030116,,
,,160,Machine learning,25,,"KG Liakos, P Busato, D Moshou, S Pearson, D Bochtis - Sensors, 2018 - mdpi.com",2018,"Liakos,",Machine learning in agriculture: A review,"Abstract Machine learning has emerged with big data technologies and high-performance 
computing to create new opportunities for data intensive science in the multi-disciplinary agri-
technologies domain. In this paper, we present a comprehensive review of research …",https://www.mdpi.com/1424-8220/18/8/2674/pdf,https://www.mdpi.com/327494,,
,,170,Machine learning,26,,CM Bishop - 2006 - cds.cern.ch,2006,Bishop,Pattern recognition and machine learning,"This is the first textbook on pattern recognition to present the Bayesian viewpoint. The book 
presents approximate inference algorithms that permit fast approximate answers in 
situations where exact answers are not feasible. It uses graphical models to describe …",https://cds.cern.ch/record/998831/files/9780387310732_TOC.pdf?source=post_page---------------------------,https://cds.cern.ch/record/998831,,
,,180,Machine learning,27,,"DE King - The Journal of Machine Learning Research, 2009 - jmlr.org",2009,King,Dlib-ml: A machine learning toolkit,"There are many excellent toolkits which provide support for developing machine learning 
software in Python, R, Matlab, and similar environments. Dlib-ml is an open source library, 
targeted at both engineers and research scientists, which aims to provide a similarly rich …",https://www.jmlr.org/papers/volume10/king09a/king09a.pdf,https://www.jmlr.org/papers/volume10/king09a/king09a.pdf,,
,,190,Machine learning,28,,"ZH Zhou - Frontiers Comput. Sci., 2016 - academia.edu",2016,Zhou,Learnware: on the future of machine learning.,"Current machine learning techniques have achieved great success; however, there are 
many deficiencies. First, to train a strong model, a large amount of training examples are 
required, whereas collecting the data, particularly data with labels, is expensive or even …",https://www.academia.edu/download/49496472/2016_-_Zhou_-_Learnware_on_the_future_of_machine_learning.pdf,https://www.academia.edu/download/49496472/2016_-_Zhou_-_Learnware_on_the_future_of_machine_learning.pdf,,
,,,Machine learning,29,,"R Collobert, K Kavukcuoglu… - BigLearn, NIPS …, 2011 - infoscience.epfl.ch",2011,"Collobert,",Torch7: A matlab-like environment for machine learning,"Torch7 is a versatile numeric computing framework and machine learning library that 
extends Lua. Its goal is to provide a flexible environment to design and train learning 
machines. Flexibility is obtained via Lua, an extremely lightweight scripting language. High …",https://infoscience.epfl.ch/record/192376/files/Collobert_NIPSWORKSHOP_2011.pdf,https://infoscience.epfl.ch/record/192376/files/Collobert_NIPSWORKSHOP_2011.pdf,,
,,,Machine learning,30,,G Bonaccorso - 2017 - books.google.com,2017,Bonaccorso,Machine learning algorithms,"Build strong foundation for entering the world of Machine Learning and data science with the 
help of this comprehensive guide About This Book Get started in the field of Machine 
Learning with the help of this solid, concept-rich, yet highly practical guide. Your one-stop …",,https://books.google.com/books?hl=en&lr=&id=_-ZDDwAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=epeDx3KF9F&sig=mNgMl_9QzFmreIseI9phPKnXvq4,,
,,,Machine learning,31,,"TO Ayodele - New advances in machine learning, 2010 - books.google.com",2010,Ayodele,Types of machine learning algorithms,"• Supervised learning---where the algorithm generates a function that maps inputs to desired 
outputs. One standard formulation of the supervised learning task is the classification 
problem: the learner is required to learn (to approximate the behavior of) a function which …",https://pdfs.semanticscholar.org/c4ae/802491724aee021f31f02327b9671cead3dc.pdf,https://books.google.com/books?hl=en&lr=&id=XAqhDwAAQBAJ&oi=fnd&pg=PA19&dq=Machine+learning&ots=r2Gn7XFmHr&sig=Xh5-poOv3jGlcPg598xsQIbvRfs,,
,,,Machine learning,32,,"P Baldi, S Brunak, F Bach - 2001 - books.google.com",2001,"Baldi,",Bioinformatics: the machine learning approach,"A guide to machine learning approaches and their application to the analysis of biological 
data. An unprecedented wealth of data is being generated by genome sequencing projects 
and other experimental efforts to determine the structure and function of biological …",http://182.160.97.198:8080/xmlui/bitstream/handle/123456789/1377/Appendix%2C%20References%20%26%20Index.pdf?sequence=9,https://books.google.com/books?hl=en&lr=&id=pxSM7R1sdeQC&oi=fnd&pg=PR9&dq=Machine+learning&ots=SNEHGa10Wu&sig=sBWHMDNSNDNGxUczUE5aWbH5lrQ,,
,,,Machine learning,33,,"D Michie - Nature, 1968 - nature.com",1968,Michie,“Memo” functions and machine learning,"0G itself may be self-modifying and seek to increase its agreement with the contents of the 
 rote. Parable of Self-improvement Before describing the detailed application of this Scheme, 
 I shall take a fanciful example to show how exactly it corresponds to the way a human tackles …",https://stacks.stanford.edu/file/druid:dn905ks9646/dn905ks9646.pdf,https://www.nature.com/articles/218019a0,,
,,,Machine learning,34,,P Dangeti - 2017 - books.google.com,2017,Dangeti,Statistics for machine learning,"Build Machine Learning models with a sound statistical understanding. About This Book 
Learn about the statistics behind powerful predictive models with p-value, ANOVA, and F-
statistics. Implement statistical computations programmatically for supervised and …",,https://books.google.com/books?hl=en&lr=&id=C-dDDwAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=j23w_tv4Wv&sig=fZw_63TfzTpZ4_24OYNn6QUrRVA,,
,,,Machine learning,35,,"P Langley - Proceedings of the AAAI Fall symposium on relevance, 1994 - aaai.org",1994,Langley,Selection of relevant features in machine learning,"In this paper, we review the problem of selecting relevant features for use in machine 
learning. We describe this problem in terms of heuristic search through a space of feature 
sets, and we identify four dimensions along which approaches to the problem can vary. We …",https://www.aaai.org/Papers/Symposia/Fall/1994/FS-94-02/FS94-02-034.pdf,https://www.aaai.org/Papers/Symposia/Fall/1994/FS-94-02/FS94-02-034.pdf,,
,,,Machine learning,36,,"KT Butler, DW Davies, H Cartwright, O Isayev, A Walsh - Nature, 2018 - nature.com",2018,"Butler,",Machine learning for molecular and materials science,"Here we summarize recent progress in machine learning for the chemical sciences. We 
outline machine-learning techniques that are suitable for addressing research questions in 
this domain, as well as future directions for the field. We envisage a future in which the …",https://epubs.stfc.ac.uk/manifestation/44000149/STFC-AAM-2019-065.pdf,https://www.nature.com/articles/s41586-018-0337-2,,
,,,Machine learning,37,,"K Lee, J Caverlee, S Webb - Proceedings of the 33rd international ACM …, 2010 - dl.acm.org",2010,"Lee,",Uncovering social spammers: social honeypots+ machine learning,"Web-based social systems enable new community-based opportunities for participants to 
engage, share, and interact. This community value and related services like search and 
advertising are threatened by spammers, content polluters, and malware disseminators. In …",https://www.researchgate.net/profile/Steve_Webb4/publication/221299816_Uncovering_social_spammers_social_honeypots_machine_learning/links/0c96052a5c68313425000000.pdf,https://dl.acm.org/doi/abs/10.1145/1835449.1835522,,
,,,Machine learning,38,,"S Sonnenburg, G Rätsch, S Henschel, C Widmer… - … of Machine Learning …, 2010 - jmlr.org",2010,"Sonnenburg,",The SHOGUN machine learning toolbox,"We have developed a machine learning toolbox, called SHOGUN, which is designed for 
unified large-scale learning for a broad range of feature types and learning settings. It offers 
a considerable number of machine learning models such as support vector machines …",https://www.jmlr.org/papers/volume11/sonnenburg10a/sonnenburg10a.pdf,https://www.jmlr.org/papers/volume11/sonnenburg10a/sonnenburg10a.pdf,,
,,,Machine learning,39,,S Marsland - 2015 - books.google.com,2015,Marsland,Machine learning: an algorithmic perspective,"A Proven, Hands-On Approach for Students without a Strong Statistical Foundation Since 
the best-selling first edition was published, there have been several prominent 
developments in the field of machine learning, including the increasing work on the …",http://repository.fue.edu.eg/xmlui/bitstream/handle/123456789/3667/10501.pdf?sequence=1&isAllowed=y,https://books.google.com/books?hl=en&lr=&id=y_oYCwAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=-yeXPlDp1U&sig=hpzC45AforOp6cfqq-3jWYyhUnQ,,
,,,Machine learning,40,,BK Natarajan - 2014 - books.google.com,2014,Natarajan,Machine learning: A theoretical approach,"This is the first comprehensive introduction to computational learning theory. The author's 
uniform presentation of fundamental results and their applications offers AI researchers a 
theoretical perspective on the problems they study. The book presents tools for the analysis …",,https://books.google.com/books?hl=en&lr=&id=cnyjBQAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=5d3CIzhXVs&sig=Ne3evE3pp76kvtq1HsgyFWF4BAA,,
,,,Machine learning,41,,"IH Witten, E Frank, MA Hall, CJ Pal - Morgan Kaufmann, 2005 - doc1.bibliothek.li",2005,"Witten,",Practical machine learning tools and techniques,"Page 1. Data Mining Practical Machine Learning Tools and Techniques Third Edition Ian H.
 Witten Eibe Frank Mark A. Hall AMSTERDAM • BOSTON • HEIDELBERG • LONDON NEW YORK •
OXFORD • PARIS • SAN DIEGO SAN FRANCISCO • SINGAPORE • SYDNEY • TOKYO Morgan …",https://doc1.bibliothek.li/acb/FLMF040119.pdf,https://doc1.bibliothek.li/acb/FLMF040119.pdf,,
,,,Machine learning,42,,"A Dey - International Journal of Computer Science and …, 2016 - researchgate.net",2016,Dey,Machine learning algorithms: a review,"In this paper, various machine learning algorithms have been discussed. These algorithms 
are used for various purposes like data mining, image processing, predictive analytics, etc. 
to name a few. The main advantage of using machine learning is that, once an algorithm …",https://www.researchgate.net/profile/Randeep_Kaur12/post/latest_research_which_should_be_chosen_in_machine_learning/attachment/5bb64a68cfe4a76455f83a27/AS%3A678058935717889%401538673256296/download/machine+learning+algorithms.pdf,https://www.researchgate.net/profile/Randeep_Kaur12/post/latest_research_which_should_be_chosen_in_machine_learning/attachment/5bb64a68cfe4a76455f83a27/AS%3A678058935717889%401538673256296/download/machine+learning+algorithms.pdf,,
,,,Machine learning,43,,"ZT Wilson, NV Sahinidis - Computers & Chemical Engineering, 2017 - Elsevier",2017,"Wilson,",The ALAMO approach to machine learning,"ALAMO is a computational methodology for learning algebraic functions from data. Given a 
data set, the approach begins by building a low-complexity, linear model composed of 
explicit non-linear transformations of the independent variables. Linear combinations of …",https://arxiv.org/pdf/1705.10918,https://www.sciencedirect.com/science/article/pii/S0098135417300662,,
,,,Machine learning,44,,"A Asuncion, D Newman - 2007 - ergodicity.net",2007,"Asuncion,",UCI machine learning repository,"I'll round out the end of my ISIT blogging with very brief takes on a few more papers. I took it 
pretty casually this year in terms of note taking, and while I attended many more talks, my 
notes for most of them consist of a title and a star next to the ones where I want to look at the …",https://ergodicity.net/2013/07/,https://ergodicity.net/2013/07/,,
,,,Machine learning,45,,"S Mullainathan, J Spiess - Journal of Economic Perspectives, 2017 - aeaweb.org",2017,"Mullainathan,",Machine learning: an applied econometric approach,"Abstract Machines are increasingly doing “intelligent” things. Face recognition algorithms 
use a large dataset of photos labeled as having a face or not to estimate a function that 
predicts the presence y of a face from pixels x. This similarity to econometrics raises …",https://pubs.aeaweb.org/doi/pdfplus/10.1257/jep.31.2.87?source=post_page---------------------------,https://www.aeaweb.org/articles?id=10.1257/jep.31.2.87,,
,,,Machine learning,46,,"CM Bishop - … Transactions of the Royal Society A …, 2013 - royalsocietypublishing.org",2013,Bishop,Model-based machine learning,"Several decades of research in the field of machine learning have resulted in a multitude of 
different algorithms for solving a broad range of problems. To tackle a new application, a 
researcher typically tries to map their problem onto one of these existing methods, often …",https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2012.0222,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2012.0222,,
,,,Machine learning,47,,"RE Schapire - Nonlinear estimation and classification, 2003 - Springer",2003,Schapire,The boosting approach to machine learning: An overview,"Boosting is a general method for improving the accuracy of any given learning algorithm. 
Focusing primarily on the AdaBoost algorithm, this chapter overviews some of the recent 
work on boosting including analyses of AdaBoost's training error and generalization error; …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.448.3000&rep=rep1&type=pdf,https://link.springer.com/chapter/10.1007/978-0-387-21579-2_9,,
,,,Machine learning,48,,E Alpaydin - 2020 - books.google.com,2020,Alpaydin,Introduction to machine learning,"A substantially revised fourth edition of a comprehensive textbook, including new coverage 
of recent advances in deep learning and neural networks. The goal of machine learning is to 
program computers to use example data or past experience to solve a given problem …",https://www.bme.ufl.edu/wp-content/uploads/2018/07/Fall-2015-Syllabus-BME6938-Machine-Learning.pdf,https://books.google.com/books?hl=en&lr=&id=tZnSDwAAQBAJ&oi=fnd&pg=PR7&dq=Machine+learning&ots=F3SU5_dwyc&sig=jy2DCBM0Vlqpwa9auaT3aAz13jw,,
,,,Machine learning,49,,"H Daumé III - Publisher, ciml. info, 2012 - ciml.info",2012,Daumé,A course in machine learning,"So far, you've seen two types of learning models: in decision trees, only a small number of 
features are used to make decisions; in nearest neighbor algorithms, all features are used 
equally. Neither of these extremes is always desirable. In some problems, we might want to …",http://ciml.info/dl/v0_9/ciml-v0_9-ch03.pdf,http://ciml.info/dl/v0_9/ciml-v0_9-ch03.pdf,,
,,,Machine learning,50,,"AL Blum, P Langley - Artificial intelligence, 1997 - Elsevier",1997,"Blum,",Selection of relevant features and examples in machine learning,"In this survey, we review work in machine learning on methods for handling data sets 
containing large amounts of irrelevant information. We focus on two key issues: the problem 
of selecting relevant features, and the problem of selecting relevant examples. We describe …",https://www.sciencedirect.com/science/article/pii/S0004370297000635/pdf?md5=cf87d76dd3360e6ceb03b6bca60e623e&pid=1-s2.0-S0004370297000635-main.pdf,https://www.sciencedirect.com/science/article/pii/S0004370297000635,,
,,,Machine learning,51,,"M Ribeiro, K Grolinger… - … on Machine Learning and …, 2015 - ieeexplore.ieee.org",2015,"Ribeiro,",Mlaas: Machine learning as a service,"The demand for knowledge extraction has been increasing. With the growing amount of data 
being generated by global data sources (eg, social media and mobile apps) and the 
popularization of context-specific data (eg, the Internet of Things), companies and …",https://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=1123&context=electricalpub,https://ieeexplore.ieee.org/abstract/document/7424435/,,
,,,Machine learning,52,,"M Vartak, H Subramanyam, WE Lee… - Proceedings of the …, 2016 - dl.acm.org",2016,"Vartak,",ModelDB: a system for machine learning model management,"Building a machine learning model is an iterative process. A data scientist will build many 
tens to hundreds of models before arriving at one that meets some acceptance criteria (eg 
AUC cutoff, accuracy threshold). However, the current style of model building is ad-hoc and …",https://www-cs.stanford.edu/~matei/papers/2016/hilda_modeldb.pdf,https://dl.acm.org/doi/abs/10.1145/2939502.2939516,,
,,,Machine learning,53,,"M Paluszek, S Thomas - 2016 - books.google.com",2016,"Paluszek,",MATLAB machine learning,"This book is a comprehensive guide to machine learning with worked examples in MATLAB. 
It starts with an overview of the history of Artificial Intelligence and automatic control and how 
the field of machine learning grew from these. It provides descriptions of all major areas in …",,https://books.google.com/books?hl=en&lr=&id=3kXODQAAQBAJ&oi=fnd&pg=PR6&dq=Machine+learning&ots=ZMHvUMdhoM&sig=6pMydsaXkk5kZ5yHO_V2BJ6udBc,,
,,,Machine learning,54,,"A Blum - Online algorithms, 1998 - Springer",1998,Blum,On-line algorithms in machine learning,"The areas of On-Line Algorithms and Machine Learning are both concerned with problems 
of making decisions about the present based only on knowledge of the past. Although these 
areas differ in terms of their emphasis and the problems typically studied, there are a …",https://apps.dtic.mil/sti/pdfs/ADA330965.pdf,https://link.springer.com/content/pdf/10.1007/BFb0029575.pdf,,
,,,Machine learning,55,,"SL Brunton, BR Noack… - Annual Review of Fluid …, 2020 - annualreviews.org",2020,"Brunton,",Machine learning for fluid mechanics,"The field of fluid mechanics is rapidly advancing, driven by unprecedented volumes of data 
from experiments, field measurements, and large-scale simulations at multiple 
spatiotemporal scales. Machine learning (ML) offers a wealth of techniques to extract …",https://www.annualreviews.org/doi/full/10.1146/annurev-fluid-010719-060214,https://www.annualreviews.org/doi/abs/10.1146/annurev-fluid-010719-060214,,
,,,Machine learning,56,,"TG Dietterich - Joint IAPR international workshops on statistical …, 2002 - Springer",2002,Dietterich,Machine learning for sequential data: A review,"Statistical learning problems in many fields involve sequential data. This paper formalizes 
the principal learning tasks and describes the methods that have been developed within the 
machine learning research community for addressing these problems. These methods …",https://link.springer.com/content/pdf/10.1007/3-540-70659-3_2.pdf,https://link.springer.com/chapter/10.1007/3-540-70659-3_2,,
